"Val_Type","Val"
"Name","Corey Dunn"
"Title","Senior Director of Institutional Research & Effectiveness"
"Office","Institutional Research & Effectiveness"
"Mailing Address","141 E. College Ave"
"City/State/Zip/Country","Decatur, GA 30030"
"Phone","404-471-6176"
"E-mail Address","cdunn@agnesscott.edu"
"https","//www.agnesscott.edu/institutionalresearch/common-data-set.html"
"Name of College/University","Agnes Scott College"
"Mailing Address","141 E. College Ave"
"City/State/Zip/Country","Decatur, GA 30030"
"Main Phone Number","404-471-6000"
"WWW Home Page Address","www.agnesscott.edu"
"Admissions Phone Number","404-471-6285"
"Admissions Toll-Free Phone Number","800-868-8602"
"Admissions Office Mailing Address","141 E. College Ave"
"City/State/Zip/Country","Decatur, GA 30030"
"Admissions Fax Number","404-71-6414"
"Admissions E-mail Address","admissions@agnesscott.edu"
"https","//www.commonapp.org/"
