"Val_Type","Val"
"Name","Bryn Bakoyema"
"Title","Director, Institutional Research"
"Office","Institutional Research"
"Mailing Address","915 South Jackson Street"
"City/State/Zip/Country","Montgomery, Alabama"
"Phone","334-229-6859"
"E-mail Address","oir@alasu.edu"
"https","//www.alasu.edu/administration/institutional-data"
"Name of College/University","Alabama State University"
"Mailing Address","915 S.Jackson Street"
"City/State/Zip/Country","Montgomery, AL. 36104 USA"
"Main Phone Number","334.229.4100"
"WWW Home Page Address","www.alasu.edu"
"Admissions Phone Number","334.229.4291"
"Admissions Toll-Free Phone Number","1.800.253.5037"
"Admissions Office Mailing Address","Admissions & Recuritment; P.O. Box 271"
"City/State/Zip/Country","Montgomery AL. 36101"
"Admissions Fax Number","334.229.4984"
"Admissions E-mail Address","admissions@alasu.edu"
"https","//www.alasu.edu/admissions/undergraduate-admissions"
