"Val_Type","Val"
"Name","Robin Beads"
"Title","Associate Director"
"Office","Institutional Reserch and Assessment"
"Mailing Address","4400 Massachusetts Avenue NW, Leonard Hall 101-C"
"City/State/Zip/Country","Washington D.C. 20016-8059"
"Phone","202-885-6156"
"E-mail Address","beads@american.edu"
"https","//www.american.edu/provost/oira/upload/cds_2021-2022_american-university.pdf"
"Name of College/University","American University"
"Mailing Address","4400 Massachusetts Avenue, NW"
"City/State/Zip/Country","Washington, D.C. 20016"
"Main Phone Number","202-885-1000"
"WWW Home Page Address","http//www.american.edu/"
"Admissions Phone Number","202-885-6000"
"Admissions Office Mailing Address","4400 Massachusetts Avenue, NW"
"City/State/Zip/Country","Washington, D.C. 20016"
"Admissions Fax Number","202-885-1025"
"Admissions E-mail Address","admissions@american.edu"
"https","//www.american.edu/admissions/"
