"Val_Type","Val"
"Name","Tšooane Molapo"
"Title","Director | Institutional Research"
"Office","Academic Affairs"
"Mailing Address","Augustana College 639 39th Street"
"City/State/Zip/Country","Rock Island"
"Phone","(309) 794-7148"
"Fax","(309) 794-7504"
"https","//www.augustana.edu/academics/institutional-research/common-data-set"
"Name of College/University","Augustana College (IL)"
"Mailing Address","639 38th Street"
"City/State/Zip/Country","Rock Island IL 61201 USA"
"Main Phone Number","(309) 794-7000"
"WWW Home Page Address","www.augustana.edu"
"Admissions Phone Number","(309) 794-7341"
"Admissions Toll-Free Phone Number","(800) 798-8100"
"Admissions Office Mailing Address","639 38th Street"
"City/State/Zip/Country","Rock Island IL 61201 USA"
"Admissions Fax Number","(309) 794-7422"
"Admissions E-mail Address","admissions@augustana.edu"
