"Val_Type","Val"
"Name","Kemet Azubuike"
"Title","Institutional Research Analyst"
"Office","Office of Assessment and Institutional Research"
"Mailing Address","1900 Belmont Blvd"
"City/State/Zip/Country","Nashville, TN 37212"
"Phone","615-460-5751"
"E-mail Address","OAIR@belmont.edu"
"https","//www.belmont.edu/oair/common-data-set.html"
"Name of College/University","Belmont University"
"Mailing Address","1900 Belmont Blvd."
"City/State/Zip/Country","Nashville, TN 37212"
"Main Phone Number","615-460-6000"
"WWW Home Page Address","http//www.belmont.edu"
"Admissions Phone Number","615-460-6785"
"Admissions Office Mailing Address","1900 Belmont Blvd."
"City/State/Zip/Country","Nashville, TN 37212"
"Admissions Fax Number","615-460-5434"
"Admissions E-mail Address","buadmission@belmont.edu"
