"Val_Type","Val"
"Name","Gayle Fink"
"Title","Assistant VP for Institutional Effectiveness"
"Office","Office of Planning, Analysis and Accountability"
"Mailing Address","14000 Jericho Park Rd"
"City/State/Zip/Country","Bowie, MD 20715"
"Phone","301-860-3403"
"E-mail Address","opaa@bowiestate.edu"
"Name of College/University","Bowie State University"
"Mailing Address","14000 Jericho Park Rd"
"City/State/Zip/Country","Bowie, MD 20715 US"
"Main Phone Number","301-860-4000"
"WWW Home Page Address","www.bowiestate.edu"
"Admissions Phone Number","301-860-3415"
"Admissions Toll-Free Phone Number","877-772-6943"
"Admissions Office Mailing Address","Office of Admission"
"City/State/Zip/Country","Bowie, MD 20715"
"Admissions Fax Number","301-860-3518"
"Admissions E-mail Address","ugradadmission@bowiestate.edu"
