"Val_Type","Val"
"Name","Richard Barry"
"Title","Director of Institutional Research, Planning, and Assessment"
"Office","Institutional Research, Planning, and Assessment"
"Mailing Address","101 North Merion Ave"
"City/State/Zip/Country","Bryn Mawr"
"Phone","610-526-6532"
"E-mail Address","rbarry@brynmawr.edu"
"Name of College/University","Bryn Mawr College"
"Mailing Address","101 North Merion Ave"
"City/State/Zip/Country","Bryn Mawr, PA 19010"
"Main Phone Number","610-526-5000"
"WWW Home Page Address","https//www.brynmawr.edu/"
"Admissions Phone Number","610-526-5152"
"Admissions Office Mailing Address","101 North Merion Ave"
"City/State/Zip/Country","Bryn Mawr, PA 19010"
"Admissions Fax Number","610-526-7471"
"Admissions E-mail Address","admissions@brynmawr.edu"
