"Val_Type","Val"
"Name","Raymond B. Canlas"
"Title","Senior Institutional Research Analyst"
"Office","Institutional Research, Planning, and Analytics"
"Mailing Address","3801 W Temple Ave"
"City/State/Zip/Country","Pomona, CA 91768"
"Phone","(909) 869-3406"
"E-mail Address","rbcanlas@cpp.edu"
"https","//www.cpp.edu/data/cpp-facts.shtml"
"Name of College/University","California State Polytechnic University, Pomona"
"Mailing Address","3801 W Temple Ave"
"City/State/Zip/Country","Pomona, CA 91768"
"Main Phone Number","(909) 869-7659"
"WWW Home Page Address","https//www.cpp.edu"
"Admissions Phone Number","(909) 869-5299"
"Admissions E-mail Address","admissions@cpp.edu"
