"Val_Type","Val"
"Name","Brenna Wallace"
"Title","Data Analyst"
"Office","Institutional Research and Effectiveness"
"Mailing Address","1 Woodland Road"
"City/State/Zip/Country","Pittsburgh, PA 15232, USA"
"Phone","4123651254"
"Fax","4123651644"
"E-mail Address","b.wallace@chatham.edu"
"https","//www.chatham.edu/about-us/institutional-research/common-data-set.html"
"Name of College/University","Chatham University"
"Mailing Address","1 Woodland Road"
"City/State/Zip/Country","Pittsburgh, PA 15232, USA"
"Main Phone Number","412-365-1100"
"WWW Home Page Address","http//www.chatham.edu/"
"Admissions Phone Number","412-365-1825"
"Admissions Toll-Free Phone Number","800-837-1290"
"Admissions Office Mailing Address","Admissions Offices, Chatham University"
"City/State/Zip/Country","Pittsburgh, PA 15232, USA"
"Admissions Fax Number","412-365-1609"
"Admissions E-mail Address","admission@chatham.edu"
"https","//www.chatham.edu/admission-and-aid/next-steps/apply.html"
