"Val_Type","Val"
"Name","Neil Albert"
"Title","Associate Provost"
"Office","Institutional Planning and Research"
"Mailing Address","13 Oak Drive"
"City/State/Zip/Country","Hamilton, NY 13346 USA"
"Phone","315-228-7397"
"E-mail Address","nalbert@colgate.edu"
"https","//www.colgate.edu/offices-and-services/institutionalplanningandresearch/common-data-set"
"Name of College/University","Colgate University"
"Mailing Address","13 Oak Drive"
"City/State/Zip/Country","Hamilton, NY 13346 USA"
"Main Phone Number","315-228-1000"
"WWW Home Page Address","www.colgate.edu"
"Admissions Phone Number","315-228-7401"
"Admissions Office Mailing Address","13 Oak Drive"
"City/State/Zip/Country","Hamilton, NY 13346 USA"
"Admissions Fax Number","315-228-7544"
"Admissions E-mail Address","admission@colgate.edu"
