"Val_Type","Val"
"Name","John Tardiff"
"Title","Associate Director for Institutional Research and"
"Office","Finance and Planning"
"Mailing Address","1 College Street / 159 O'Kane"
"City/State/Zip/Country","Worcester MA 01610-2395"
"Phone","(508) 793-3322"
"Fax","(508) 793-3045"
"E-mail Address","jtardiff@holycross.edu"
"https","//www.holycross.edu/finance/institutional-research"
"Name of College/University","College of the Holy Cross"
"Mailing Address","1 College Street"
"City/State/Zip/Country","Worcester, MA 01610-2395"
"Main Phone Number","(508) 793-2011"
"WWW Home Page Address","https//www.holycross.edu/"
"Admissions Phone Number","(508) 793-2443"
"Admissions Toll-Free Phone Number","(800) 442-2421"
"Admissions Office Mailing Address","1 College Street, Fenwick 105"
"City/State/Zip/Country","Worcester, MA 01610-2395"
"Admissions Fax Number","(508) 793-3888"
"Admissions E-mail Address","admissions@holycross.edu"
