"Val_Type","Val"
"Name","Tyson Koss"
"Title","Institutional Research Analyst"
"Office","Institutional Research, Planning and Effectiveness"
"Mailing Address","1004 Campus Delivery"
"City/State/Zip/Country","Colorado State University, Fort Collins, CO 80523-1004"
"Phone","970-491-6487"
"E-mail Address","tyson.koss@colostate.edu"
"https","//www.ir.colostate.edu/data-reports/common-data-set/"
"Name of College/University","Colorado State University"
"City/State/Zip/Country","Fort Collins, Colorado, 80523. USA"
"Main Phone Number","970-491-1101"
"WWW Home Page Address","https//www.colostate.edu/"
"Admissions Phone Number","(970) 491-6909"
"Admissions Office Mailing Address","Ammons Hall, 711 Oval Drive,"
"City/State/Zip/Country","Fort Collins, Colorado, 80521"
"Admissions E-mail Address","admissions@colostate.edu"
"https","//admissions.colostate.edu/apply/freshmen/"
