"Val_Type","Val"
"Name","John Nugent"
"Title","Director of Institutional Research and Planning"
"Office","Office of Institutional Research and Planning"
"Mailing Address","270 Mohegan Avenue"
"City/State/Zip/Country","New London, CT 06320"
"Phone","860-439-5266"
"E-mail Address","jdnug@conncoll.edu"
"https","//www.conncoll.edu/institutional-research/conn-facts/"
"Name of College/University","Connecticut College"
"Mailing Address","270 Mohegan Avenue"
"City/State/Zip/Country","New London, CT 06320"
"Main Phone Number","860-447-1911"
"WWW Home Page Address","https//www.conncoll.edu/"
"Admissions Phone Number","860-439-2200"
"Admissions Office Mailing Address","270 Mohegan Avenue"
"City/State/Zip/Country","New London, CT 06320"
"Admissions Fax Number","860-439-4301"
"Admissions E-mail Address","admission@conncoll.edu"
