"Val_Type","Val"
"Name","Yuti Huang"
"Title","Director of Institutional Research"
"Office","Institutional Research"
"Mailing Address","50 Acacia Avenue"
"City/State/Zip/Country","San Rafael, CA 94901"
"Phone","(415) 485-3247"
"E-mail Address","yuti.huang@dominican.edu"
"Name of College/University","Dominican University of California"
"Mailing Address","50 Acacia Avenue"
"City/State/Zip/Country","San Rafael, CA 94901 USA"
"Main Phone Number","(415) 457-4440"
"WWW Home Page Address","dominican.edu"
"Admissions Office Mailing Address","50 Acacia Avenue"
"City/State/Zip/Country","San Rafael, CA 94901 USA"
"Admissions E-mail Address","enroll@dominican.edu"
"https","//www.dominican.edu/admissions"
