"Val_Type","Val"
"Name","Kori Szelong"
"Title","Senior Research Analyst"
"Office","Institutional Research and Planning"
"Mailing Address","600 Forbes Avenue"
"City/State/Zip/Country","Pittsburgh, PA 15282"
"Phone","412-496-4074"
"E-mail Address","szelongk@duq.edu"
"Name of College/University","Duquesne University"
"Mailing Address","600 Forbes Avenue"
"City/State/Zip/Country","Pittsburgh, PA 15282"
"Main Phone Number","412-396-6000"
"WWW Home Page Address","www.duq.edu"
"Admissions Phone Number","412-396-6222"
"Admissions Toll-Free Phone Number","1-800-456-0590"
"Admissions Office Mailing Address","600 Forbes Avenue"
"City/State/Zip/Country","Pittsburgh, PA 15282"
"Admissions Fax Number","412-396-6223"
"Admissions E-mail Address","admissions@duq.edu"
