"Val_Type","Val"
"Name","Viola Simpson"
"Title","Assistant Provost for Institutional Research"
"Office","Institutional Research and Assessment"
"Mailing Address","1000 River Road"
"City/State/Zip/Country","Teaneck / NJ / 07666"
"Phone","201-692-2059"
"E-mail Address","IR_Viola@fdu.edu"
"https","//www.fdu.edu/about/university-leadership-offices/office-of-institutional-research-and-assessment/"
"Name of College/University","Fairleigh Dickinson University"
"Mailing Address","1000 River Road"
"City/State/Zip/Country","Teaneck / NJ / 07666"
"Main Phone Number","201-692-2000"
"WWW Home Page Address","www.fdu.edu"
"Admissions Phone Number","201-692-7308"
"Admissions Toll-Free Phone Number","1-800-338-8803"
"Admissions Office Mailing Address","1000 River Road, H-DH3-10"
"City/State/Zip/Country","Teaneck, NJ 07666, USA"
"Admissions Fax Number","201-692-7319"
"Admissions E-mail Address","admissions@fdu.edu"
"https","//www.commonapp.org/school/fairleigh-dickinson-university"
