"Val_Type","Val"
"Name","Laylage"
"Title","Courie"
"Office","Senior Analyst"
"Mailing Address","Institutional Research and Effectiveness"
"City/State/Zip/Country","7th Avenue @ W27th St"
"Phone","New York, NY 10001"
"E-mail Address","laylage_courie@fitnyc.edu"
"https","//www.fitnyc.edu/about/administration/academic-affairs/ire/institutional-research.php"
"Name of College/University","Fashion Institute of Technology"
"Mailing Address","227 West 27th Street"
"City/State/Zip/Country","New York , New York, 10001-5992"
"Main Phone Number","2122177999"
"WWW Home Page Address","www.fitnyc.edu"
"Admissions Phone Number","212-217-3760"
"Admissions Office Mailing Address","227 West 27th St. Marvin Feldman Center Room C139"
"City/State/Zip/Country","New York , New York, 10001-5992"
"Admissions E-mail Address","fitinfo@fitnyc.edu"
"https","//www.suny.edu/"
