"Val_Type","Val"
"Name","Jena Shepard"
"Title","Assistant Director"
"Office","O'Connor Hall, G29"
"Mailing Address","100 State Street"
"City/State/Zip/Country","Framingham, MA, 01701, USA"
"Phone","508-215-5884"
"E-mail Address","Jshepard1@framingham.edu"
"https","//www.framingham.edu/about-fsu/office-of-institutional-research/common-data-set/index"
"Name of College/University","Framingham State University"
"Mailing Address","100 State Street"
"City/State/Zip/Country","Framingham / MA / 01701 / United States"
"Main Phone Number","508-620-1220"
"WWW Home Page Address","http//www.framingham.edu"
"Admissions Phone Number","508-626-4500"
"Admissions E-mail Address","admissions@framingham.edu"
"https","//www.framingham.edu/admissions-and-aid/admissions/index"
