"Val_Type","Val"
"Name","J.R. Bjerklie"
"Title","Director of Institutional Research & Effectiveness"
"Office","Institutional Research and Effectiveness"
"Mailing Address","1 Hartwick Drive"
"City/State/Zip/Country","Oneonta, NY 13820"
"Phone","607-431-4997"
"E-mail Address","instresearch@hartwick.edu"
"https","//www.hartwick.edu/about-us/institutional-research-effectiveness/"
"Name of College/University","Hartwick College"
"Mailing Address","1 Hartwick Drive"
"City/State/Zip/Country","Oneonta, NY 13820"
"Street Address (if different)","607-431-4000"
"City/State/Zip/Country","www.hartwick.edu"
"Main Phone Number","607-431-4150"
"WWW Home Page Address","888-427-8942"
"Admissions Phone Number","PO Box 4022"
"Admissions Toll-Free Phone Number","Oneonta, NY 13820"
"Admissions Office Mailing Address","607-431-4102"
"City/State/Zip/Country","admissions@hartwick.edu"
"Admissions E-mail Address","https//hartwickcollege.force.com/onlineapp/tx-communitieshome"
