"Val_Type","Val"
"Name","Laura Van Wormer Andy"
"Title","Director of Institutional Research"
"Office","108 Gerstacker Science Hall"
"Mailing Address","PO Box 67"
"City/State/Zip/Country","Hiram, OH 44234 US"
"Phone","(330)569-5249"
"E-mail Address","vanwormerla@hiram.edu"
"https","//www.hiram.edu/about/profile/"
"Name of College/University","Hiram College"
"Mailing Address","PO Box 67"
"City/State/Zip/Country","Hiram, OH 44234 US"
"Street Address (if different)","11715 Garfield Rd"
"City/State/Zip/Country","Hiram, OH 44234 US"
"Main Phone Number","(330)569-3211"
"WWW Home Page Address","www.hiram.edu"
"Admissions Phone Number","(330)569-5169"
"Admissions Toll-Free Phone Number","(800)362-5280"
"Admissions Office Mailing Address","PO Box 96"
"City/State/Zip/Country","Hiram, OH 44234 US"
"Admissions Fax Number","(330)569-5944"
"Admissions E-mail Address","admission@hiram.edu"
"http","//www.hiram.edu/admission/undergraduate/first-year-application"
