"Val_Type","Val"
"Name","Daniel Solms"
"Title","VP Enrollment Management"
"Office","Office of Admissions"
"Mailing Address","2303 College Ave"
"City/State/Zip/Country","Huntington, IN 46750"
"Phone","260-359-4016"
"E-mail Address","dsolms@huntington.edu"
"Name of College/University","Huntington University"
"Mailing Address","2303 College Ave"
"City/State/Zip/Country","Huntington, IN 46750"
"Main Phone Number","260-356-6000"
"WWW Home Page Address","www.huntington.edu"
"Admissions Phone Number","260-359-4000"
"Admissions Office Mailing Address","2303 College Ave"
"City/State/Zip/Country","Huntington, IN 46750"
"Admissions E-mail Address","admissions@huntington.edu"
