"Val_Type","Val"
"Name","Anna Clark"
"Title","Director of Institutional Research"
"Office","Institutional Research and Assessment"
"Mailing Address","2 E. South Street"
"City/State/Zip/Country","Galesbrug, IL 61401"
"Phone","309-341-7287"
"Fax","309-341-7034"
"E-mail Address","ir@knox.edu"
"https","//www.knox.edu/offices/institutional-research/data-resources"
"Name of College/University","Knox College"
"Mailing Address","2 E. South Street"
"City/State/Zip/Country","Galesburg, IL 61401"
"WWW Home Page Address","https//www.knox.edu"
"Admissions Phone Number","309-341-7100"
"Admissions Toll-Free Phone Number","800-678-KNOX"
"Admissions Office Mailing Address","2 E. South Street"
"City/State/Zip/Country","Galesburg, IL 61401"
"Admissions Fax Number","309-341-7070"
"Admissions E-mail Address","admission@knox.edu"
"https","//www.knox.edu/admission/apply-to-knox"
