"Val_Type","Val"
"Name","Turan Gonul"
"Title","Assistant Director"
"Office","Institutional Effectiveness, Research, and Planning"
"Mailing Address","1570 Baltimore Pike"
"City/State/Zip/Country","Lincoln University, PA 19352"
"Phone","484-365-7213"
"Fax","484-365-7816"
"E-mail Address","oierp@lincoln.edu"
"https","//www.lincoln.edu/departments/institutional-effectiveness-research-and-planning/institutional-research"
"Name of College/University","Lincoln University"
"Mailing Address","1570 Baltimore Pike"
"City/State/Zip/Country","Lincoln University, PA 19352 United States"
"Main Phone Number","484-365-8000"
"WWW Home Page Address","www.lincoln.edu"
"Admissions Phone Number","484-365-8000"
"Admissions Toll-Free Phone Number","1-800-790-0191"
"Admissions Office Mailing Address","1570 Baltimore Pike"
"City/State/Zip/Country","Lincoln University, PA 19352 United States"
"Admissions Fax Number","484 365-8109"
"Admissions E-mail Address","admissions@lincoln.edu"
"https","//lincoln.elluciancrmrecruit.com/admissions/pages/welcome.aspx"
