"Val_Type","Val"
"Name","Matt Rehbein"
"Title","Analytics"
"Office","Improvement"
"Mailing Address","One University Park Dr."
"City/State/Zip/Country","Nashville, TN, 37204-3951, USA"
"Phone","615-966-1000"
"E-mail Address","matt.rehbein@lipscomb.edu"
"https","//www.lipscomb.edu/academics/academic-support/institutional-effectiveness/office-institutional-research"
"Name of College/University","Lipscomb University"
"Mailing Address","One University Park Dr."
"City/State/Zip/Country","Nashville, TN, 37204-3951, USA"
"Main Phone Number","615-966-1000"
"WWW Home Page Address","www.lipscomb.edu"
"Admissions Phone Number","615-966-1776"
"Admissions Toll-Free Phone Number","877-582-4766"
"Admissions Office Mailing Address","One University Park Dr."
"City/State/Zip/Country","Nashville, TN, 37204-3951, USA"
"Admissions Fax Number","615-966-1804"
"Admissions E-mail Address","admissions@lipscomb.edu"
