"Val_Type","Val"
"Name","Chiaki Kotori"
"Title","Director of Institutional Research"
"Mailing Address","One College Place"
"City/State/Zip/Country","Williamsport, PA 17701"
"Phone","570-321-4029"
"Fax","570-321-4216"
"E-mail Address","kotori@lycoming.edu"
"http","//www.lycoming.edu/institutionalResearch/pdfs/cds-2022-2023.pdf"
"Name of College/University","Lycoming College"
"Mailing Address","One College Place"
"City/State/Zip/Country","Williamsport, PA 17701"
"Main Phone Number","570- 321-4000"
"WWW Home Page Address","https//www.lycoming.edu/"
"Admissions Toll-Free Phone Number","1-800- 345-3920"
"Admissions Office Mailing Address","One College Place"
"City/State/Zip/Country","Williamsport, PA 17701"
"Admissions Fax Number","570-321-4317"
"Admissions E-mail Address","admissions@lycoming.edu"
