"Val_Type","Val"
"Name","Cecila King"
"Title","Data Management Coordinator"
"Office","Office of Institutional Research and Effectiveness"
"Mailing Address","P.O. Drawer EY"
"City/State/Zip/Country","Mississippi State, MS 39762 U.S.A."
"Phone","662-325-3920"
"Fax","662-325-3514"
"E-mail Address","oir@ir.msstate.edu"
"http","//www.ir.msstate.edu/"
"Name of College/University","Mississippi State University"
"Mailing Address","P.O. Box 6018"
"City/State/Zip/Country","Mississippi State, MS 39762 U.S.A."
"Main Phone Number","662-325-2323"
"WWW Home Page Address","www.msstate.edu"
"Admissions Phone Number","662-325-2224"
"Admissions Office Mailing Address","P.O. Box 6334"
"City/State/Zip/Country","Mississippi State, MS 39762 U.S.A."
"Admissions Fax Number","(662) 325-1MSU"
"Admissions E-mail Address","admit@msstate.edu"
"If there is a separate URL for your school’s online application, please specify","http//www.msstate.edu/future-students/apply/"
"Updated","2/27/2023 A. General Information Page 1"
