"Val_Type","Val"
"Name","Sylvia J. Sievers, Ph.D."
"Title","Director"
"Office","Institutional Research and Assessment"
"Mailing Address","503 South Broad Street"
"City/State/Zip/Country","Clinton, SC 29325 USA"
"Phone","864-833-8757"
"Fax","N/A"
"E-mail Address","SJSievers@presby.edu"
"https","//www.presby.edu/about/offices-services/institutional-research-assessment/"
"Name of College/University","Presbyterian College"
"Mailing Address","503 South Broad Street"
"City/State/Zip/Country","Clinton, SC 29325 USA"
"Main Phone Number","800-476-7272"
"WWW Home Page Address","www.presby.edu"
"Admissions Phone Number","800-476-7272"
"Admissions Toll-Free Phone Number","800-476-7272"
"Admissions Office Mailing Address","503 South Broad Street"
"City/State/Zip/Country","Clinton, SC 29325 USA"
"Admissions E-mail Address","admissions@presby.edu"
"https","//www.presby.edu/admissions/apply-to-pc/"
