"Val_Type","Val"
"Name","Reema N. Panwar"
"Title","Director of Institutional Research & Strategy"
"Office","President's Office"
"Mailing Address","275 Mount Carmel Avenue"
"City/State/Zip/Country","Hamden, CT 06518 USA"
"Phone","203-582-7675"
"E-mail Address","reema.panwar@quinnipiac.edu"
"Name of College/University","Quinnipiac University"
"Mailing Address","275 Mount Carmel Avenue"
"City/State/Zip/Country","Hamden, CT 06518 USA"
"Main Phone Number","203-582-8200"
"WWW Home Page Address","www.qu.edu"
"Admissions Phone Number","203-582-8600"
"Admissions Toll-Free Phone Number","1-800-462-1944"
"Admissions Office Mailing Address","EC-UGR 275 Mount Carmel Avenue"
"City/State/Zip/Country","Hamden, CT 06518 USA"
"Admissions Fax Number","203-582-8906"
"Admissions E-mail Address","admissions@qu.edu"
