"Val_Type","Val"
"Name","Laura Plessner"
"Title","Administrative Assistant"
"Office","Institutional Research"
"Mailing Address","505 Ramapo Valley Road - E206"
"City/State/Zip/Country","Mahwah, NJ 07430"
"Phone","201-684-7035"
"Fax","201-684-7946"
"E-mail Address","lplessne@ramapo.edu"
"https","//www.ramapo.edu/ir/data-reports/common-data-set/"
"Name of College/University","Ramapo College of New Jersey"
"Mailing Address","505 Ramapo Valley Road"
"City/State/Zip/Country","Mahwah, NJ 07430 U.S.A."
"Main Phone Number","201-684-7500"
"WWW Home Page Address","www.ramapo.edu"
"Admissions Phone Number","201-684-7300"
"Admissions Office Mailing Address","Ramapo College of New Jersey - Admissions Office"
"City/State/Zip/Country","505 Ramapo Valley Road, Mahwah, NJ 07430"
"Admissions Fax Number","201-684-7964"
"Admissions E-mail Address","admissions@ramapo.edu"
"https","//www.ramapo.edu/admissions/apply/"
