"Val_Type","Val"
"First Name","Grace"
"Last Name","See"
"Title","Senior Data Analyst"
"Office","Office of the Provost"
"Mailing Address","3333 Regis Blvd, B-12"
"City","Denver"
"State","Colorado"
"Country","USA"
"Zip","80221"
"Area Code","303"
"Phone Number","4583584"
"E-mail Address","uar@regis.edu"
"Name of College/University","Regis University"
"Mailing Address","3333 Regis Blvd."
"City/State/Zip/Country","Denver, CO, 80221, USA"
"Main Phone Area Code","303"
"Main Phone Number","458-4100"
"WWW Home Page Address","www.regis.edu"
"Admissions Phone Number","303-458-4900"
"Admissions Toll-Free Phone Number","1-800-388-2366"
"Admissions Office Mailing Address","3333 Regis Blvd., A-12"
"City","Denver"
"State","Colorado"
"Country","USA"
"Zip","80221"
"Admissions Fax Number","303-964-5534"
"Admissions E-mail Address","ruadmissions@regis.edu"
"https","//regisadmissions.org/freshman/"
