"Val_Type","Val"
"Name","Dr. Sara Phillips"
"Title","Director of Institutional Research & Planning"
"Office","Institutional Research & Planning"
"Mailing Address","600 Mount Pleasant Avenue"
"City/State/Zip/Country","Providence, RI 02908 USA"
"Phone","401-456-8998"
"Fax","401-456-8209"
"E-mail Address","sphillips@ric.edu"
"https","//www.ric.edu/department-directory/office-institutional-research-and-planning"
"Name of College/University","Rhode Island College"
"Mailing Address","600 Mount Pleasant Avenue"
"City/State/Zip/Country","Providence, RI 02908 USA"
"Main Phone Number","401-456-8000"
"WWW Home Page Address","https//www.ric.edu/"
"Admissions Phone Number","401-456-8234"
"Admissions Toll-Free Phone Number","800-669-5760"
"Admissions Office Mailing Address","Office of Undergraduate Admissions"
"City/State/Zip/Country","Providence, RI 02908 USA"
"Admissions Fax Number","401-456-8817"
"Admissions E-mail Address","admissions@ric.edu"
"https","//www.commonapp.org/explore/rhode-island-college"
