"Val_Type","Val"
"Name","Carlissa Jackson"
"Title","Director of Institutional Research"
"Office","Institutional Research"
"Mailing Address","1928 Saint Mary's Road"
"City/State/Zip/Country","Moraga, CA 94575"
"Phone","(925) 631-4272"
"E-mail Address","cj10@stmarys-ca.edu"
"https","//www.stmarys-ca.edu/institutional-research/common-data-set"
"Name of College/University","Saint Mary's College of California"
"Mailing Address","1928 Saint Mary's Road"
"City/State/Zip/Country","Moraga, CA 94575"
"Main Phone Number","(925) 631-4000"
"WWW Home Page Address","https//www.stmarys-ca.edu/"
"Admissions Phone Number","(925) 631-4224"
"Admissions Office Mailing Address","1928 Saint Mary's Road, PMB4800"
"City/State/Zip/Country","Moraga, CA 94575"
"Admissions Fax Number","(925) 376-7193"
"Admissions E-mail Address","smcadmit@stmarys-ca.edu"
