"Val_Type","Val"
"Name","Liz Kamerer"
"Title","Research and Program Assistant"
"Office","Institutional Research & Educational Assessment"
"Mailing Address","201 Stoddard Annex"
"City/State/Zip/Country","Northampton/MA/01063/USA"
"Phone","413-585-3021"
"Fax","413-585-3026"
"E-mail Address","institutionalresearch@smith.edu"
"https","//www.smith.edu/about-smith/institutional-research-smith-data"
"Name of College/University","Smith College"
"Mailing Address","Elm Street"
"City/State/Zip/Country","Northampton/MA/01063/USA"
"Main Phone Number","413-585-2700"
"WWW Home Page Address","https//www.smith.edu/"
"Admissions Phone Number","413-585-2500"
"Admissions Toll-Free Phone Number","800-383-3232"
"Admissions Office Mailing Address","7 College Lane"
"City/State/Zip/Country","Northampton/MA/01063/USA"
"Admissions Fax Number","413-585-2527"
"Admissions E-mail Address","admission@smith.edu"
"https","//www.smith.edu/admission-aid"
