"Val_Type","Val"
"Name","Jennifer Swearengin"
"Title","Academic Affairs Coordinator"
"Office","Academic Affairs"
"Mailing Address","425 W. University Blvd."
"City/State/Zip/Country","Durant, OK 74701"
"Phone","580-745-2216"
"E-mail Address","jswearengin@se.edu"
"http","//www.se.edu/academic-affairs/common-data-set/"
"Name of College/University","Southeastern Oklahoma State University"
"Mailing Address","425 W. University Blvd."
"City/State/Zip/Country","Durant, OK 74701"
"Main Phone Number","520-745-2000"
"WWW Home Page Address","www.se.edu"
"Admissions Phone Number","580-745-2052"
"Admissions Office Mailing Address","Office of Admissions -425 W. University Blvd."
"City/State/Zip/Country","Durant, OK 74701-3347"
"Admissions Fax Number","580-745-7502"
"Admissions E-mail Address","admissions@se.edu"
