"Val_Type","Val"
"Name","Susan Canon"
"Title","Director"
"Office","Institutional Effectiveness & Assessment"
"Mailing Address","1520 St. Olaf Avenue"
"City/State/Zip/Country","Northfield MN 55057"
"Phone","507-786-3647"
"E-mail Address","canon@stolaf.edu"
"https","//wp.stolaf.edu/iea/common-data-set/"
"Name of College/University","St. Olaf College"
"Mailing Address","1520 St. Olaf Ave"
"City/State/Zip/Country","Northfield, MN 55057"
"Main Phone Number","507-786-2222"
"WWW Home Page Address","http//wp.stolaf.edu"
"Admissions Phone Number","507-786-3025"
"Admissions Toll-Free Phone Number","800-800-3025"
"Admissions Office Mailing Address","1520 St. Olaf Ave"
"City/State/Zip/Country","Northfield, MN 55057"
"Admissions Fax Number","507-786-3832"
"Admissions E-mail Address","admissions@stolaf.edu"
"http","//wp.stolaf.edu/admissions/apply"
