"Val_Type","Val"
"Name","Jamie Bataille"
"Title","Data Analyst"
"Office","Institutional Research and Effectiveness"
"Mailing Address","421 N Woodland Blvdl, Unit 8282"
"City/State/Zip/Country","DeLand, FL 32723"
"Phone","386-822-7255"
"Fax","386-740-3658"
"https","//www.stetson.edu/administration/institutional-research/common-data-set.php"
"Name of College/University","Stetson University"
"Mailing Address","421 N Woodland Blvd"
"City/State/Zip/Country","DeLand, FL 32723"
"Main Phone Number","386-822-7000"
"WWW Home Page Address","stetson.edu"
"Admissions Phone Number","386-822-7100"
"Admissions Toll-Free Phone Number","386-688-0101"
"Admissions Office Mailing Address","421 N Woodland Blvd., Unit 8378"
"City/State/Zip/Country","DeLand, FL 32723"
"Admissions Fax Number","386-822-7112"
"Admissions E-mail Address","admissions@stetson.edu"
"https","//www.stetson.edu/administration/admissions/apply/"
