"Val_Type","Val"
"Name","Dawn Wallace-Pascoe"
"Title","Reporting and Analytics Sr. Analyst"
"Office","383 Bricker Hall"
"Mailing Address","190 North Oval Mall"
"City/State/Zip/Country","Columbus, OH 43210"
"Phone","614-292-1340"
"E-mail Address","wallace-pascoe.103@osu.edu"
"https","//oaa.osu.edu/institutional-data"
"Name of College/University","The Ohio State University - Columbus Campus"
"Mailing Address","Ave."
"City/State/Zip/Country","Columbus/Ohio/43210/USA"
"Main Phone Number","614-292-OHIO"
"WWW Home Page Address","http//www.osu.edu"
"Admissions Phone Number","614-292-3980"
"City/State/Zip/Country","Columbus/Ohio/43210/USA"
"Admissions Fax Number","614-292-3980"
"Admissions E-mail Address","Freshmen and Transfer askabuckeye@osu.edu"
"http","//undergrad.osu.edu/apply"
