"Val_Type","Val"
"Name","Dr. Suzanne Simpson"
"Title","Asst. Provost, Institutional Research, Effectiveness, &"
"Office","The Office of Institutional Research, Effectiveness,"
"Mailing Address","301 Sparkman Drive, SSB 200D"
"City/State/Zip/Country","Huntsville, Al, 35899 -USA"
"Phone","256.824.6686"
"E-mail Address","oir@uah.edu"
"https","//www.uah.edu/academic-affairs/offices/oirea/common-data-sets"
"Name of College/University","The University of Alabama in Huntsville"
"Mailing Address","301 Sparkman Drive"
"City/State/Zip/Country","Huntsville, AL, 35899 -USA"
"Main Phone Number","256.824.6120 or 256.824.1000"
"WWW Home Page Address","www.uah.edu"
"Admissions Phone Number","256.824.2255"
"Admissions Toll-Free Phone Number","1.800.824.2255"
"Admissions Office Mailing Address","UAH Office of Admissions"
"City/State/Zip/Country","Huntsville, AL, 35899 -USA"
"Admissions Fax Number","256.824.4539"
"Admissions E-mail Address","admissions@uah.edu"
