"Val_Type","Val"
"Name","Kien Nguyen"
"Title","IT Business Intelligence Data Analyst"
"Office","Office of Institutional Research-UNC Pembroke"
"Mailing Address","PO 1510, 1 University Drive"
"City/State/Zip/Country","Pembroke, NC 28372, United States of America"
"Phone","910-775-4375"
"E-mail Address","kien.nguyen@uncp.edu"
"https","//www.uncp.edu/resources/institutional-research/data-reporting-center/common-data-set"
"Name of College/University","The University of North Carolina Pembroke"
"Mailing Address","PO Box 1510"
"City/State/Zip/Country","Pembroke, NC 28372, USA"
"Street Address (if different)","1 University Drive"
"City/State/Zip/Country","Pembroke, NC 28372 USA"
"Main Phone Number","910-521-6000"
"WWW Home Page Address","https//www.uncp.edu/"
"Admissions Phone Number","910-521-6262"
"Admissions Office Mailing Address","PO Box 1510"
"City/State/Zip/Country","Pembroke, NC 28372, USA"
"Admissions Fax Number","910-521-6497"
"Admissions E-mail Address","admissions@uncp.edu"
