"Val_Type","Val"
"Name","Aaron Watts"
"Title","Associate Director of Admissions"
"Office","Office of Undergraduate Admissions"
"Mailing Address","Bendetson Hall"
"City/State/Zip/Country","Medford, MA 02155"
"Phone","(617) 627-3170"
"Fax","(617) 627-3860"
"E-mail Address","undergraduate.admissions@tufts.edu"
"https","//provost.tufts.edu/institutionalresearch/about-tufts/common-data-set/"
"Name of College/University","Tufts University"
"Mailing Address","Bendetson Hall"
"City/State/Zip/Country","Medford, MA 02155"
"Street Address (if different)","2 The Green"
"City/State/Zip/Country","Medford, MA 02155"
"Main Phone Number","(617) 628-5000"
"WWW Home Page Address","www.tufts.edu"
"Admissions Phone Number","(617) 627-3170"
"Admissions Office Mailing Address","Bendetson Hall"
"City/State/Zip/Country","Medford, MA 02155"
"Admissions Fax Number","(617) 627-3860"
"Admissions E-mail Address","undergraduate.admissions@tufts.edu"
