"Val_Type","Val"
"Name","Debra Allen"
"Title","Assistant Provost"
"Office","Institutional Research and Assessment"
"Mailing Address","University of Maine 101 Alumni Hall"
"City/State/Zip/Country","Orono, ME 04469"
"Phone","(207) 581-1461"
"Fax","(207) 581-1576"
"https","//umaine.edu/oira/common-data-set"
"Name of College/University","University of Maine"
"Mailing Address","168 College Ave"
"City/State/Zip/Country","Orono, ME 04469"
"Main Phone Number","(207) 581-1865"
"WWW Home Page Address","www.UMaine.edu"
"Admissions Phone Number","(207) 581-1561"
"Admissions Toll-Free Phone Number","(877) 486-2364"
"Admissions Office Mailing Address","5713 Chadbourne Hall"
"City/State/Zip/Country","Orono, ME 04469 USA"
"Admissions Fax Number","(207) 581-1213"
"Admissions E-mail Address","umaineadmissions@maine.edu"
"http","//umaine.edu/apply/"
