"Val_Type","Val"
"Name","Christine Lewis Horton"
"Title","Director"
"Office","Data, Analytics, and Institutional Research"
"Mailing Address","University of Massachusetts"
"City/State/Zip/Country","Lowell, MA 01854-2874"
"Phone","978-934-2501"
"Fax","978-934-4016"
"E-mail Address","Institutional_Research@uml.edu"
"https","//www.uml.edu/Institutional-Research/Common-Data-Set.aspx"
"Name of College/University","University of Massachusetts Lowell"
"Mailing Address","One University Avenue"
"City/State/Zip/Country","Lowell, MA 01854-2882 USA"
"Main Phone Number","978-934-4000"
"WWW Home Page Address","www.uml.edu"
"Admissions Phone Number","978-934-3931"
"Admissions Toll-Free Phone Number","800-410-4607"
"Admissions Office Mailing Address","University Crossing, Suite 420, 220 Pawtucket Street"
"City/State/Zip/Country","Lowell, MA 01854-2874 USA"
"Admissions Fax Number","978-934-3086"
"Admissions E-mail Address","admissions@uml.edu"
"http","//www.uml.edu/apply"
