"Val_Type","Val"
"Name","Dave Becher, Ed.D."
"Title","Associate Provost"
"Office","Office of Institutional Research and Strategic Analytics"
"Mailing Address","Gables One Tower, Suite 260, 1320 S. Dixie Hwy.,"
"City/State/Zip/Country","Coral Gables, FL 33146"
"Phone","(305) 284-3856"
"Fax","(305) 284-4081"
"E-mail Address","davebecher@miami.edu"
"https","//www.irsa.miami.edu/facts-and-information/common-data-set/index.html"
"Name of College/University","University of Miami"
"Mailing Address","P.O. Box 248025"
"City/State/Zip/Country","Coral Gables, FL 33124, U.S.A."
"Main Phone Number","(305) 284-2211"
"WWW Home Page Address","www.miami.edu"
"Admissions Phone Number","(305) 284-4323"
"Admissions Toll-Free Phone Number","n.a."
"Admissions Office Mailing Address","P.O. Box 248025"
"City/State/Zip/Country","Coral Gables, FL 33124-4616"
"Admissions Fax Number","(305) 284-2507"
"Admissions E-mail Address","admission@miami.edu"
