"Val_Type","Val"
"Name","Kelsey Anderson"
"Title","Associate Director of Institutional Research"
"Office","Jones 212"
"Mailing Address","1500 N Warner St. #1014"
"City/State/Zip/Country","Tacoma, WA 98416 USA"
"E-mail Address","ir_staff@pugetsound.edu"
"https","//www.pugetsound.edu/institutional-research/general-information"
"Name of College/University","University of Puget Sound"
"Mailing Address","1500 N. Warner Street"
"City/State/Zip/Country","Tacoma, WA 98416 USA"
"Main Phone Number","253.879.3100"
"WWW Home Page Address","https//www.pugetsound.edu"
"Admissions Phone Number","253.879.3211"
"Admissions Office Mailing Address","1500 N. Warner St. #1062"
"City/State/Zip/Country","Tacoma, WA 98416-1062 USA"
"Admissions Fax Number","253.879.3993"
"Admissions E-mail Address","admission@pugetsound.edu"
"https","//www.pugetsound.edu/admission/apply"
