"Val_Type","Val"
"Name","Christine Liu"
"Title","Sr. Info. Tech."
"Office","Office of Institutional Research"
"Mailing Address","Pastore Building Ste. 215, 31 Lower College Rd"
"City/State/Zip/Country","Kingston, RI 02881"
"Phone","401-874-9082"
"E-mail Address","jliu@uri.edu"
"https","//web.uri.edu/ir/reports-and-surveys/common/"
"Name of College/University","University of Rhode Island"
"City/State/Zip/Country","Kingston, RI 02881"
"Main Phone Number","401-874-1000"
"WWW Home Page Address","http//www.uri.edu"
"Admissions Phone Number","401-874-7100"
"Admissions Office Mailing Address","Undergraduate Admission, 14 Upper College Rd"
"City/State/Zip/Country","Kingston, RI 02881"
"Admissions E-mail Address","admission@uri.edu"
