"Val_Type","Val"
"Name","Mr. John Thomas"
"Title","Associate CIO"
"Office","Information Technology Services"
"Mailing Address","The University of Texas Permian Basin"
"City/State/Zip/Country","4901 E University Blvd, Odessa, TX 79762"
"Phone","(432) 552-2417"
"E-mail Address","Thomas_J@UTPB.edu"
"https","//www.utpb.edu/university-offices/institutional-research-and-effectiveness/common-dataset"
"Name of College/University","University of Texas Permian Basin"
"Mailing Address","4901 E. University Blvd"
"City/State/Zip/Country","Odessa, TX 79762"
"Main Phone Number","432-552-2020"
"WWW Home Page Address","https//www.utpb.edu/"
"Admissions Phone Number","432-552-2605"
"Admissions Toll-Free Phone Number","1-866-552-8872"
"Admissions Office Mailing Address","4901 E. University"
"City/State/Zip/Country","Odessa, TX 79762"
"Admissions Fax Number","432-552-3605"
"Admissions E-mail Address","admissions@utpb.edu"
