"Val_Type","Val"
"Name","Anne Fulkerson"
"Title","Assistant Vice Provost for Institutional Research"
"Office","Institutional Research"
"Mailing Address","2801 W. Bancroft St, UH6050"
"City/State/Zip/Country","Toledo, OH 43606"
"Phone","419-530-1252"
"Fax","(419)530-1249"
"E-mail Address","anne.fulkerson@utoledo.edu"
"https","//www.utoledo.edu/offices/institutional-research/home/university-facts.html"
"Name of College/University","University of Toledo"
"Mailing Address","2801 W. Bancroft St."
"City/State/Zip/Country","Toledo, OH 43606-3390"
"Main Phone Number","419-530-4636"
"WWW Home Page Address","http//www.utoledo.edu"
"Admissions Phone Number","419-530-8888"
"Admissions Toll-Free Phone Number","1-800-5TOLEDO"
"Admissions Office Mailing Address","2801 W. Bancroft St."
"City/State/Zip/Country","Toledo, OH 43606-3390"
"Admissions Fax Number","419-530-5872"
"Admissions E-mail Address","enroll@utoledo.edu"
"http","//www.utoledo.edu/admission"
