"Val_Type","Val"
"Name","Cullen Mann"
"Title","Data Analyst"
"Office","Institutional Research"
"Mailing Address","11000 University Pkwy"
"City/State/Zip/Country","Pensacola / Florida / 32514"
"Phone","850-474-2480"
"https","//uwf.edu/academic-affairs/departments/institutional-research/uwf-common-data-set/common-data-set/"
"Name of College/University","University of West Florida"
"Mailing Address","11000 University Pkwy"
"City/State/Zip/Country","Pensacola / Florida / 32514"
"Main Phone Number","850-474-2000"
"WWW Home Page Address","https//uwf.edu/"
"Admissions Phone Number","850-474-2230"
"Admissions Toll-Free Phone Number","1-800-263-1074"
"Admissions Office Mailing Address","11000 University Parkway, Building 18"
"City/State/Zip/Country","Pensacola, FL, 32514"
"Admissions E-mail Address","admissions@uwf.edu"
