"Val_Type","Val"
"Name","Brenda Murray"
"Title","Institutional Research Analyst"
"Office","Institutional Research, Assessment, and Planning"
"Mailing Address","1725 State Street"
"City/State/Zip/Country","La Crosse, WI 54601"
"Phone","608-785-5298"
"Fax","608-785-8046"
"E-mail Address","bmurray@uwlax.edu"
"Name of College/University","University of Wisconsin - La Crosse"
"Mailing Address","1725 State Street"
"City/State/Zip/Country","La Crosse, WI 54601"
"Main Phone Number","608-785-8000"
"WWW Home Page Address","www.uwlax.edu"
"Admissions Phone Number","608-785-8939"
"Admissions Office Mailing Address","1725 State Street"
"City/State/Zip/Country","La Crosse, WI 54601"
"Admissions Fax Number","608-785-8940"
"Admissions E-mail Address","admissions@uwlax.edu"
"https","//apply.wisconsin.edu/homepage"
