"Val_Type","Val"
"Name","Yadira Foulker"
"Title","and Planning"
"Mailing Address","800 W Main Street, Heide Hall 450F"
"City/State/Zip/Country","Whitewater, WI 53190"
"Phone","262-472-1542"
"E-mail Address","foulkery@uww.edu"
"http","//www.edu/irp/compliance-and-reporting"
"Name of College/University","University of Wisconsin - Whitewater"
"Mailing Address","800 West Main Street"
"City/State/Zip/Country","Whitewater, WI 53190"
"Main Phone Number","262-472-1234"
"WWW Home Page Address","www.uww.edu"
"Admissions Phone Number","262-472-1440"
"Admissions Office Mailing Address","800 West Main Street"
"City/State/Zip/Country","Whitewater, WI 53190"
"Admissions Fax Number","262-472-1515"
"Admissions E-mail Address","uwwadmit@uww.edu"
"https","//apply.wisconsin.edu/"
