"Val_Type","Val"
"Name","Brandy Gray"
"Title","Associate Director of Institutional Research"
"Office","Institutional Effectiveness"
"Mailing Address","1600 Burrstone Road"
"City/State/Zip/Country","Utica, NY 13502"
"Phone","315-792-3228"
"E-mail Address","bgray@utica.edu"
"Name of College/University","Utica University"
"Mailing Address","1600 Burrstone Road"
"City/State/Zip/Country","Utica, NY 13502"
"Main Phone Number","315-792-3111"
"WWW Home Page Address","www.utica.edu"
"Admissions Phone Number","315-792-3006"
"Admissions Toll-Free Phone Number","1-800-782-8884"
"Admissions Office Mailing Address","1600 Burrstone Road"
"City/State/Zip/Country","Utica, NY 13502"
"Admissions Fax Number","315-792-3003"
"Admissions E-mail Address","admiss@utica.edu"
