"Val_Type","Val"
"Name","Barrie D. Fitzgerald"
"Title","Director"
"Office","Office of Strategic Research & Analysis"
"Mailing Address","1500 N. Patterson St."
"City/State/Zip/Country","Valdosta, GA., 31698"
"Phone","229-333-7831"
"E-mail Address","sra@valdosta.edu"
"https","//www.valdosta.edu/administration/institutional-research/data-and-reports/common-data-set.php"
"Name of College/University","Valdosta State University"
"Mailing Address","1500 N Patterson Street St."
"City/State/Zip/Country","Valdosta, GA., 31698"
"Main Phone Number","229-333-5800"
"WWW Home Page Address","http//www.valdosta.edu"
"Admissions Phone Number","229-333-5791"
"Admissions Toll-Free Phone Number","1-800-618-1878"
"Admissions Office Mailing Address","1500 N. Patterson St."
"City/State/Zip/Country","Valdosta, GA 31698"
"Admissions Fax Number","229-333-5482"
"Admissions E-mail Address","admissions@valdosta.edu"
