"Val_Type","Val"
"Name","Theresa Ford"
"Title","Director of Institutional Effectiveness"
"Office","Institutional Effectivness - Academic Affairs"
"Mailing Address","60 S. Lincoln St."
"City/State/Zip/Country","Washington, PA 15301"
"Phone","724.503.1001, x3580"
"E-mail Address","tford@washjeff.edu"
"https","//www.washjeff.edu/department/institutional-effectiveness/"
"Name of College/University","Washington & Jefferson College"
"Mailing Address","60 S. Lincoln St."
"City/State/Zip/Country","Washington, PA 15301"
"Main Phone Number","724.222.4400"
"WWW Home Page Address","www.washjeff.edu"
"Admissions Phone Number","724-223-6025"
"Admissions Toll-Free Phone Number","888-926-3529"
"Admissions Office Mailing Address","60 S. Lincoln St."
"City/State/Zip/Country","Washington, PA 15301"
"Admissions E-mail Address","admission@washjeff.edu"
"https","//www.washjeff.edu/future-students/apply/"
