"Val_Type","Val"
"Name","Michael Whitcomb"
"Title","Director of Institutional Research"
"Office","Office of Institutional Research"
"Mailing Address","237 High St., 327 North College Bldg."
"City/State/Zip/Country","Middletown, CT 06459"
"Phone","860.685.5340"
"Fax","860.685.2011"
"E-mail Address","mwhitcomb@wesleyan.edu"
"http","//wesleyan.edu/ir/common-data-sets.html"
"Name of College/University","Wesleyan University"
"Mailing Address","45 Wyllys Avenue"
"City/State/Zip/Country","Middletown, CT 06459"
"Main Phone Number","860.685.2000"
"WWW Home Page Address","www.wesleyan.edu"
"Admissions Phone Number","860.685.3000"
"Admissions Office Mailing Address","70 Wyllys Avenue"
"City/State/Zip/Country","Middletown, CT 06459"
"Admissions Fax Number","860.685.3001"
"Admissions E-mail Address","admission@wesleyan.edu"
"https","//www.wesleyan.edu/admission/apply/index.html"
