"Val_Type","Val"
"Name","Fritz Smith"
"Title","Associate Dean of Faculty"
"Office","Mendenhall First Floor"
"Mailing Address","13406 E. Philadelphia"
"City/State/Zip/Country","Whittier, CA 90608"
"Phone","562-907-4903"
"E-mail Address","fritz@whittier.edu"
"Name of College/University","Whittier College"
"Mailing Address","13406 Philadelphia"
"City/State/Zip/Country","Whittier, CA 90608"
"Main Phone Number","562-907-4200"
"WWW Home Page Address","www.whittier.edu"
"Admissions Phone Number","(562) 907-4238"
"Admissions Toll-Free Phone Number","(888) 200-0369"
"Admissions Office Mailing Address","13406 E. Philadelphia Street P.O. Box 634"
"City/State/Zip/Country","Whittier, CA 90608 USA"
"Admissions Fax Number","(562) 907-4870"
"Admissions E-mail Address","admissions@whittier.edu"
"Note","Moving to a semester system effective Fall 2022"
