"Val_Type","Val"
"Name","Kimberly Sierschula"
"Title","Strategic Planning and Resource Analyst"
"Office","Institutional Research and Effectiveness"
"Mailing Address","3640 Colonel Glenn Hwy"
"City/State/Zip/Country","Dayton, OH 45435"
"Phone","937-775-2014"
"Fax","937-775-2144"
"E-mail Address","kimberly.sierschula@wright.edu"
"https","//www.wright.edu/institutional-research-and-effectiveness/institutional-surveys"
"Name of College/University","Wright State University"
"Mailing Address","3640 Colonel Glenn Hwy"
"City/State/Zip/Country","Dayton, OH 45435-0001, United States of America"
"Main Phone Number","937-775-1000"
"WWW Home Page Address","http//www.wright.edu"
"Admissions Phone Number","937-775-5700"
"Admissions Toll-Free Phone Number","800-247-1770"
"Admissions Office Mailing Address","3640 Colonel Glenn Hwy."
"City/State/Zip/Country","Dayton, OH 45435-0001, United States of America"
"Admissions Fax Number","937-775-4410"
"Admissions E-mail Address","admissions@wright.edu"
"http","//wright.force.com/Portal_Login"
